x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.000000,0.048000,0.060586,1.166800,3299.899,800.000,1.382176,7121.869,17803953.764
0.000412,0.047712,0.061323,1.166800,3299.897,800.000,1.382173,7199.491,17997982.398
0.000823,0.047423,0.062074,1.166800,3299.894,800.000,1.382170,7278.436,18195319.358
0.001235,0.047135,0.062839,1.166800,3299.891,800.000,1.382168,7358.736,18396041.632
0.001647,0.046847,0.063618,1.166800,3299.889,800.000,1.382165,7440.423,18600228.484
0.002058,0.046559,0.064411,1.166800,3299.886,800.000,1.382162,7523.528,18807961.535
0.002470,0.046270,0.065220,1.166800,3299.883,800.000,1.382159,7608.086,19019324.847
0.002882,0.045982,0.066044,1.166800,3299.880,800.000,1.382156,7694.131,19234405.015
0.003293,0.045694,0.066884,1.166800,3299.877,800.000,1.382152,7781.700,19453291.258
0.003705,0.045406,0.067740,1.166800,3299.874,800.000,1.382149,7870.828,19676075.512
0.004117,0.045117,0.068613,1.166800,3299.870,800.000,1.382146,7961.553,19902852.537
0.004528,0.044829,0.069503,1.166800,3299.867,800.000,1.382142,8053.916,20133720.018
0.004940,0.044541,0.070410,1.166800,3299.864,800.000,1.382138,8147.956,20368778.674
0.005352,0.044253,0.071336,1.166800,3299.860,800.000,1.382134,8243.715,20608132.379
0.005763,0.043964,0.072279,1.166800,3299.856,800.000,1.382130,8341.235,20851888.272
0.006175,0.043676,0.073242,1.166800,3299.852,800.000,1.382126,8440.561,21100156.890
0.006587,0.043388,0.074224,1.166800,3299.848,800.000,1.382122,8541.739,21353052.295
0.006998,0.043100,0.075227,1.166800,3299.844,800.000,1.382118,8644.815,21610692.212
0.007410,0.042811,0.076249,1.166800,3299.840,800.000,1.382113,8749.839,21873198.170
0.007822,0.042523,0.077293,1.166800,3299.836,800.000,1.382109,8856.860,22140695.655
0.008233,0.042235,0.078359,1.166800,3299.831,800.000,1.382104,8965.931,22413314.263
0.008645,0.041947,0.079447,1.166800,3299.826,800.000,1.382099,9077.106,22691187.863
0.009057,0.041658,0.080558,1.166800,3299.821,800.000,1.382094,9190.438,22974454.772
0.009468,0.041370,0.081693,1.166800,3299.816,800.000,1.382088,9305.986,23263257.931
0.009880,0.041082,0.082852,1.166800,3299.811,800.000,1.382083,9423.810,23557745.097
0.010292,0.040794,0.084036,1.166800,3299.806,800.000,1.382077,9543.969,23858069.033
0.010703,0.040505,0.085245,1.166800,3299.800,800.000,1.382071,9666.528,24164387.721
0.011115,0.040217,0.086482,1.166800,3299.794,800.000,1.382065,9791.552,24476864.576
0.011527,0.039929,0.087745,1.166800,3299.788,800.000,1.382058,9919.108,24795668.672
0.011938,0.039641,0.089037,1.166800,3299.782,800.000,1.382052,10049.266,25120974.979
0.012350,0.039352,0.090358,1.166800,3299.775,800.000,1.382045,10182.100,25452964.619
0.012762,0.039064,0.091708,1.166800,3299.769,800.000,1.382038,10317.685,25791825.121
0.013173,0.038776,0.093090,1.166800,3299.762,800.000,1.382030,10456.097,26137750.701
0.013585,0.038488,0.094503,1.166800,3299.754,800.000,1.382023,10597.418,26490942.548
0.013997,0.038199,0.095949,1.166800,3299.747,800.000,1.382015,10741.731,26851609.135
0.014408,0.037911,0.097429,1.166800,3299.739,800.000,1.382006,10889.124,27219966.529
0.014820,0.037623,0.098943,1.166800,3299.731,800.000,1.381998,11039.684,27596238.738
0.015232,0.037335,0.100494,1.166800,3299.722,800.000,1.381989,11193.507,27980658.055
0.015643,0.037046,0.102081,1.166800,3299.713,800.000,1.381979,11350.687,28373465.439
0.016055,0.036758,0.103707,1.166800,3299.704,800.000,1.381969,11511.326,28774910.901
0.016467,0.036470,0.105373,1.166800,3299.695,800.000,1.381959,11675.527,29185253.922
0.016878,0.036182,0.107080,1.166800,3299.685,800.000,1.381949,11843.399,29604763.885
0.017290,0.035893,0.108829,1.166800,3299.674,800.000,1.381938,12015.053,30033720.534
0.017702,0.035605,0.110622,1.166800,3299.664,800.000,1.381926,12190.606,30472414.461
0.018113,0.035317,0.112460,1.166800,3299.652,800.000,1.381914,12370.180,30921147.613
0.018525,0.035029,0.114345,1.166800,3299.641,800.000,1.381902,12553.899,31380233.831
0.018937,0.034740,0.116278,1.166800,3299.628,800.000,1.381889,12741.894,31849999.424
0.019348,0.034452,0.118262,1.166800,3299.616,800.000,1.381875,12934.303,32330783.760
