x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.000000,0.048000,0.060586,1.166800,3299.899,800.000,1.382176,1557.356,3893233.562
0.000262,0.047738,0.061256,1.166800,3299.897,800.000,1.382173,1572.788,3931807.117
0.000525,0.047475,0.061937,1.166800,3299.894,800.000,1.382171,1588.458,3970978.287
0.000787,0.047213,0.062630,1.166800,3299.892,800.000,1.382168,1604.373,4010759.703
0.001049,0.046951,0.063335,1.166800,3299.890,800.000,1.382166,1620.537,4051164.333
0.001311,0.046689,0.064052,1.166800,3299.887,800.000,1.382163,1636.956,4092205.495
0.001574,0.046426,0.064781,1.166800,3299.885,800.000,1.382160,1653.635,4133896.869
0.001836,0.046164,0.065522,1.166800,3299.882,800.000,1.382158,1670.580,4176252.506
0.002098,0.045902,0.066277,1.166800,3299.879,800.000,1.382155,1687.796,4219286.847
0.002360,0.045640,0.067044,1.166800,3299.876,800.000,1.382152,1705.290,4263014.725
0.002623,0.045377,0.067825,1.166800,3299.873,800.000,1.382149,1723.068,4307451.391
0.002885,0.045115,0.068620,1.166800,3299.870,800.000,1.382145,1741.135,4352612.518
0.003147,0.044853,0.069429,1.166800,3299.867,800.000,1.382142,1759.499,4398514.220
0.003409,0.044591,0.070253,1.166800,3299.864,800.000,1.382139,1778.166,4445173.066
0.003672,0.044328,0.071091,1.166800,3299.861,800.000,1.382135,1797.142,4492606.094
0.003934,0.044066,0.071945,1.166800,3299.858,800.000,1.382132,1816.436,4540830.832
0.004196,0.043804,0.072814,1.166800,3299.854,800.000,1.382128,1836.053,4589865.309
0.004458,0.043542,0.073699,1.166800,3299.851,800.000,1.382124,1856.002,4639728.077
0.004721,0.043279,0.074600,1.166800,3299.847,800.000,1.382121,1876.290,4690438.227
0.004983,0.043017,0.075518,1.166800,3299.843,800.000,1.382117,1896.925,4742015.408
0.005245,0.042755,0.076453,1.166800,3299.839,800.000,1.382112,1917.915,4794479.849
0.005507,0.042493,0.077406,1.166800,3299.835,800.000,1.382108,1939.269,4847852.376
