x_mm,Ma,T_K,P_bar
0.00,0.060460,3298.888164,29.93513820
1.84,0.065387,3298.699667,29.92415355
3.67,0.070944,3298.469346,29.91073613
5.51,0.077246,3298.185495,29.89420733
7.34,0.084433,3297.832376,29.87365582
9.18,0.092681,3297.388532,29.84784098
11.01,0.102214,3296.824246,29.81504820
12.85,0.113318,3296.097648,29.77286768
14.69,0.126366,3295.148572,29.71784775
16.52,0.141857,3293.888592,29.64493675
18.36,0.160464,3292.184295,29.54655487
20.19,0.183126,3289.828011,29.41099064
22.03,0.211200,3286.483931,29.21949727
23.87,0.246724,3281.582210,28.94071106
25.96,0.300725,3272.711654,28.44190458
26.00,0.301897,3272.500281,28.43010786
26.80,0.326587,3267.864015,28.17239471
27.50,0.348941,3263.364706,27.92418317
28.20,0.372025,3258.420121,27.65353923
28.90,0.395864,3252.999015,27.35936119
29.60,0.420475,3247.069800,27.04064014
30.30,0.445874,3240.600721,26.69648064
31.00,0.472072,3233.560056,26.32612257
31.70,0.499079,3225.916351,25.92896350
32.40,0.526899,3217.638668,25.50458088
33.10,0.555537,3208.696852,25.05275336
33.80,0.584993,3199.061813,24.57348035
34.50,0.615267,3188.705808,24.06699934
35.20,0.646354,3177.602730,23.53379989
35.90,0.678250,3165.728394,22.97463390
36.60,0.710947,3153.060802,22.39052121
37.30,0.744436,3139.580410,21.78275036
38.00,0.778707,3125.270352,21.15287369
38.70,0.813747,3110.116653,20.50269698
39.40,0.849544,3094.108394,19.83426320
40.10,0.886084,3077.237852,19.14983089
40.80,0.923350,3059.500580,18.45184723
41.50,0.961327,3040.895451,17.74291668
42.20,1.000000,3021.424636,17.02576525
42.20,1.000000,3021.424636,17.02576525
42.35,1.016655,3012.882223,16.71894458
42.50,1.033438,3004.181149,16.41123800
42.66,1.050344,2995.324206,16.10294520
42.81,1.067367,2986.314409,15.79436654
42.96,1.084502,2977.154999,15.48580230
43.11,1.101743,2967.849438,15.17755149
43.26,1.119083,2958.401390,14.86991072
43.40,1.136517,2948.814714,14.56317306
43.55,1.154039,2939.093454,14.25762697
43.70,1.171642,2929.241819,13.95355521
43.84,1.189321,2919.264176,13.65123390
43.99,1.207068,2909.165028,13.35093155
44.13,1.224879,2898.949008,13.05290815
44.30,1.245302,2887.136530,12.71542171
46.41,1.441751,2768.682094,9.72677988
48.88,1.597720,2669.118688,7.71594093
51.35,1.721123,2587.094063,6.35739507
53.81,1.825424,2515.356789,5.36318626
55.93,1.904201,2459.505567,4.70056942
58.40,1.986704,2399.221983,4.08283972
60.86,2.061126,2343.029533,3.58805335
63.33,2.128941,2290.115465,3.18508321
65.80,2.191201,2239.933759,2.85246131
67.92,2.240748,2198.812737,2.61158625
70.38,2.294644,2152.822114,2.37197011
72.85,2.344798,2108.809247,2.16860236
75.32,2.391612,2066.668510,1.99470759
77.79,2.435415,2026.338728,1.84501787
79.90,2.470773,1993.187373,1.73280652
82.37,2.509679,1956.152027,1.61769833
84.84,2.546250,1920.881390,1.51701550
87.30,2.580660,1887.377196,1.42852864
89.77,2.613058,1855.641431,1.35041470
91.89,2.639328,1829.846169,1.29057084
94.35,2.668326,1801.387693,1.22793558
96.82,2.695648,1774.679256,1.17203059
99.29,2.721383,1749.701330,1.12196776
101.76,2.745613,1726.426724,1.07700156
103.87,2.765238,1707.806619,1.04203673
106.34,2.786860,1687.597646,1.00494350
108.81,2.807164,1668.974029,0.97139813
111.27,2.826204,1651.882045,0.94100987
113.74,2.844028,1636.262678,0.91344654
115.86,2.858370,1623.998702,0.89185374
118.32,2.874046,1610.942935,0.86881856
120.79,2.888618,1599.169320,0.84790700
123.26,2.902118,1588.606198,0.82894032
125.73,2.914574,1579.180722,0.81176646
127.84,2.924440,1571.951746,0.79837444
130.31,2.935026,1564.445332,0.78420222
132.78,2.944636,1557.869681,0.77150366
135.24,2.953289,1552.155575,0.76019876
137.71,2.961001,1547.236876,0.75022039
139.83,2.966874,1543.606663,0.74268062
142.30,2.972876,1540.003763,0.73502472
144.76,2.977974,1537.031899,0.72856021
147.23,2.982178,1534.644651,0.72325569
149.70,2.985494,1532.802529,0.71908639
