x_m,r_m,Ma_iso,delta_star_m,r_eff_m,Ma_eff,mu_Pa_s,Re_x
0.000000,0.060000,0.039700,1.15546776e-06,0.059999,0.039702,1.25165855e-04,1.000000e+03
0.000192,0.059668,0.040145,2.21763411e-06,0.059665,0.040148,1.25165683e-04,1.000000e+03
0.000384,0.059335,0.040597,4.43526821e-06,0.059331,0.040603,1.25165507e-04,1.000000e+03
0.000576,0.059003,0.041056,6.64817001e-06,0.058996,0.041065,1.25165325e-04,1.003564e+03
0.000768,0.058670,0.041524,8.34971159e-06,0.058662,0.041535,1.25165138e-04,1.353294e+03
0.000960,0.058338,0.041999,9.95892066e-06,0.058328,0.042013,1.25164946e-04,1.710953e+03
0.001152,0.058005,0.042483,1.14964674e-05,0.057994,0.042500,1.25164748e-04,2.076747e+03
0.001343,0.057673,0.042975,1.29754754e-05,0.057660,0.042994,1.25164544e-04,2.450887e+03
0.001535,0.057341,0.043476,1.44049745e-05,0.057326,0.043497,1.25164334e-04,2.833589e+03
0.001727,0.057008,0.043985,1.57915342e-05,0.056992,0.044010,1.25164118e-04,3.225079e+03
0.001919,0.056676,0.044504,1.71401343e-05,0.056659,0.044531,1.25163896e-04,3.625587e+03
0.002111,0.056343,0.045032,1.84546703e-05,0.056325,0.045061,1.25163667e-04,4.035352e+03
0.002303,0.056011,0.045569,1.97382666e-05,0.055991,0.045601,1.25163431e-04,4.454620e+03
0.002495,0.055678,0.046116,2.09934803e-05,0.055657,0.046151,1.25163188e-04,4.883644e+03
0.002687,0.055346,0.046673,2.22224397e-05,0.055324,0.046710,1.25162938e-04,5.322687e+03
0.002879,0.055014,0.047240,2.34269414e-05,0.054990,0.047280,1.25162680e-04,5.772020e+03
0.003071,0.054681,0.047817,2.46085202e-05,0.054657,0.047861,1.25162414e-04,6.231920e+03
0.003263,0.054349,0.048406,2.57685007e-05,0.054323,0.048452,1.25162140e-04,6.702677e+03
0.003455,0.054016,0.049005,2.69080369e-05,0.053989,0.049054,1.25161857e-04,7.184589e+03
0.003647,0.053684,0.049615,2.80281415e-05,0.053656,0.049667,1.25161566e-04,7.677962e+03
0.003839,0.053352,0.050237,2.91297100e-05,0.053322,0.050292,1.25161265e-04,8.183115e+03
0.004030,0.053019,0.050871,3.02135386e-05,0.052989,0.050929,1.25160955e-04,8.700375e+03
0.004222,0.052687,0.051516,3.12803395e-05,0.052655,0.051578,1.25160634e-04,9.230082e+03
0.004414,0.052354,0.052175,3.23307527e-05,0.052322,0.052239,1.25160304e-04,9.772587e+03
0.004606,0.052022,0.052846,3.33653559e-05,0.051988,0.052914,1.25159963e-04,1.032825e+04
0.004798,0.051689,0.053530,3.43846728e-05,0.051655,0.053601,1.25159610e-04,1.089745e+04
0.004990,0.051357,0.054227,3.53891796e-05,0.051322,0.054302,1.25159246e-04,1.148058e+04
0.005182,0.051025,0.054938,3.63793109e-05,0.050988,0.055017,1.25158870e-04,1.207803e+04
0.005374,0.050692,0.055663,3.73554645e-05,0.050655,0.055746,1.25158482e-04,1.269021e+04
0.005566,0.050360,0.056403,3.83180053e-05,0.050321,0.056489,1.25158080e-04,1.331757e+04
0.005758,0.050027,0.057158,3.92672690e-05,0.049988,0.057248,1.25157665e-04,1.396054e+04
0.005950,0.049695,0.057928,4.02035653e-05,0.049655,0.058022,1.25157236e-04,1.461959e+04
0.006142,0.049362,0.058714,4.11271800e-05,0.049321,0.058812,1.25156792e-04,1.529518e+04
0.006334,0.049030,0.059516,4.20383777e-05,0.048988,0.059618,1.25156333e-04,1.598783e+04
0.006525,0.048698,0.060334,4.29374036e-05,0.048655,0.060441,1.25155858e-04,1.669803e+04
0.006717,0.048365,0.061170,4.38244853e-05,0.048321,0.061281,1.25155366e-04,1.742632e+04
0.006909,0.048033,0.062023,4.46998343e-05,0.047988,0.062139,1.25154857e-04,1.817324e+04
0.007101,0.047700,0.062894,4.55636475e-05,0.047655,0.063015,1.25154330e-04,1.893938e+04
0.007293,0.047368,0.063784,4.64161080e-05,0.047321,0.063909,1.25153784e-04,1.972531e+04
0.007485,0.047035,0.064692,4.72573866e-05,0.046988,0.064823,1.25153219e-04,2.053166e+04
0.007677,0.046703,0.065621,4.80876427e-05,0.046655,0.065757,1.25152633e-04,2.135905e+04
0.007869,0.046371,0.066570,4.89070248e-05,0.046322,0.066711,1.25152026e-04,2.220816e+04
0.008061,0.046038,0.067539,4.97156715e-05,0.045988,0.067686,1.25151396e-04,2.307966e+04
0.008253,0.045706,0.068530,5.05137125e-05,0.045655,0.068683,1.25150743e-04,2.397426e+04
0.008445,0.045373,0.069543,5.13012686e-05,0.045322,0.069701,1.25150066e-04,2.489272e+04
0.008637,0.045041,0.070579,5.20784525e-05,0.044989,0.070743,1.25149363e-04,2.583579e+04
0.008829,0.044708,0.071638,5.28453698e-05,0.044656,0.071809,1.25148633e-04,2.680427e+04
0.009020,0.044376,0.072722,5.36021184e-05,0.044322,0.072899,1.25147876e-04,2.779899e+04
0.009212,0.044044,0.073830,5.43487901e-05,0.043989,0.074013,1.25147090e-04,2.882081e+04
0.009404,0.043711,0.074964,5.50854701e-05,0.043656,0.075154,1.25146273e-04,2.987064e+04
0.009596,0.043379,0.076124,5.58122377e-05,0.043323,0.076322,1.25145424e-04,3.094940e+04
0.009788,0.043046,0.077312,5.65291667e-05,0.042990,0.077517,1.25144541e-04,3.205807e+04
0.009980,0.042714,0.078528,5.72363253e-05,0.042657,0.078741,1.25143624e-04,3.319766e+04
0.010172,0.042382,0.079773,5.79337769e-05,0.042324,0.079993,1.25142669e-04,3.436921e+04
0.010364,0.042049,0.081049,5.86215798e-05,0.041990,0.081277,1.25141676e-04,3.557383e+04
0.010556,0.041717,0.082355,5.92997879e-05,0.041657,0.082591,1.25140643e-04,3.681266e+04
0.010748,0.041384,0.083693,5.99684505e-05,0.041324,0.083938,1.25139567e-04,3.808689e+04
