x_m,r_m,Ma_iso,delta_star_m,r_eff_m,Ma_eff,mu_Pa_s,Re_x_plot
0.000000,0.060000,0.039720,1.15546776e-06,0.059999,0.039722,9.19496639e-05,1.000000e+03
0.000192,0.059668,0.040165,2.21763411e-06,0.059665,0.040168,9.19495058e-05,1.000000e+03
0.000384,0.059335,0.040617,4.43526821e-06,0.059331,0.040623,9.19493433e-05,1.000000e+03
0.000576,0.059003,0.041077,6.65290232e-06,0.058996,0.041086,9.19491761e-05,1.000000e+03
0.000768,0.058670,0.041545,8.70055810e-06,0.058662,0.041557,9.19490042e-05,1.101574e+03
0.000960,0.058338,0.042020,1.03773837e-05,0.058328,0.042035,9.19488272e-05,1.392708e+03
0.001152,0.058005,0.042504,1.19795356e-05,0.057993,0.042522,9.19486452e-05,1.690464e+03
0.001343,0.057673,0.042997,1.35206886e-05,0.057660,0.043017,9.19484578e-05,1.995012e+03
0.001535,0.057341,0.043498,1.50102522e-05,0.057326,0.043520,9.19482650e-05,2.306532e+03
0.001727,0.057008,0.044007,1.64550719e-05,0.056992,0.044033,9.19480665e-05,2.625204e+03
0.001919,0.056676,0.044526,1.78603366e-05,0.056658,0.044554,9.19478620e-05,2.951218e+03
0.002111,0.056343,0.045054,1.92301057e-05,0.056324,0.045085,9.19476515e-05,3.284767e+03
0.002303,0.056011,0.045592,2.05676346e-05,0.055990,0.045625,9.19474346e-05,3.626051e+03
0.002495,0.055678,0.046139,2.18755881e-05,0.055657,0.046176,9.19472112e-05,3.975278e+03
0.002687,0.055346,0.046696,2.31561838e-05,0.055323,0.046736,9.19469810e-05,4.332661e+03
0.002879,0.055014,0.047264,2.44112939e-05,0.054989,0.047306,9.19467438e-05,4.698419e+03
0.003071,0.054681,0.047842,2.56425174e-05,0.054656,0.047887,9.19464992e-05,5.072781e+03
0.003263,0.054349,0.048430,2.68512349e-05,0.054322,0.048478,9.19462471e-05,5.455980e+03
0.003455,0.054016,0.049030,2.80386486e-05,0.053988,0.049081,9.19459871e-05,5.848259e+03
0.003647,0.053684,0.049640,2.92058139e-05,0.053655,0.049694,9.19457189e-05,6.249869e+03
0.003839,0.053352,0.050262,3.03536639e-05,0.053321,0.050320,9.19454423e-05,6.661068e+03
0.004030,0.053019,0.050896,3.14830282e-05,0.052988,0.050957,9.19451569e-05,7.082123e+03
0.004222,0.052687,0.051543,3.25946489e-05,0.052654,0.051607,9.19448624e-05,7.513310e+03
0.004414,0.052354,0.052201,3.36891929e-05,0.052321,0.052269,9.19445584e-05,7.954916e+03
0.004606,0.052022,0.052872,3.47672623e-05,0.051987,0.052943,9.19442445e-05,8.407235e+03
0.004798,0.051689,0.053557,3.58294025e-05,0.051654,0.053631,9.19439204e-05,8.870573e+03
0.004990,0.051357,0.054254,3.68761100e-05,0.051320,0.054333,9.19435856e-05,9.345245e+03
0.005182,0.051025,0.054966,3.79078374e-05,0.050987,0.055048,9.19432398e-05,9.831578e+03
0.005374,0.050692,0.055692,3.89249993e-05,0.050653,0.055778,9.19428825e-05,1.032991e+04
0.005566,0.050360,0.056432,3.99279760e-05,0.050320,0.056522,9.19425132e-05,1.084059e+04
0.005758,0.050027,0.057187,4.09171172e-05,0.049986,0.057281,9.19421315e-05,1.136398e+04
0.005950,0.049695,0.057957,4.18927455e-05,0.049653,0.058055,9.19417368e-05,1.190046e+04
0.006142,0.049362,0.058743,4.28551589e-05,0.049320,0.058846,9.19413286e-05,1.245041e+04
0.006334,0.049030,0.059546,4.38046329e-05,0.048986,0.059653,9.19409063e-05,1.301424e+04
0.006525,0.048698,0.060365,4.47414231e-05,0.048653,0.060476,9.19404694e-05,1.359237e+04
0.006717,0.048365,0.061201,4.56657666e-05,0.048319,0.061317,9.19400172e-05,1.418521e+04
0.006909,0.048033,0.062054,4.65778838e-05,0.047986,0.062175,9.19395491e-05,1.479324e+04
0.007101,0.047700,0.062926,4.74779797e-05,0.047653,0.063052,9.19390644e-05,1.541690e+04
0.007293,0.047368,0.063816,4.83662452e-05,0.047320,0.063947,9.19385625e-05,1.605667e+04
0.007485,0.047035,0.064725,4.92428584e-05,0.046986,0.064861,9.19380424e-05,1.671307e+04
0.007677,0.046703,0.065654,5.01079850e-05,0.046653,0.065796,9.19375036e-05,1.738660e+04
0.007869,0.046371,0.066603,5.09617799e-05,0.046320,0.066751,9.19369451e-05,1.807781e+04
0.008061,0.046038,0.067573,5.18043876e-05,0.045986,0.067726,9.19363660e-05,1.878725e+04
0.008253,0.045706,0.068565,5.26359430e-05,0.045653,0.068724,9.19357655e-05,1.951550e+04
0.008445,0.045373,0.069578,5.34565721e-05,0.045320,0.069743,9.19351426e-05,2.026317e+04
0.008637,0.045041,0.070615,5.42663923e-05,0.044987,0.070786,9.19344962e-05,2.103087e+04
0.008829,0.044708,0.071674,5.50655134e-05,0.044653,0.071852,9.19338254e-05,2.181927e+04
0.009020,0.044376,0.072758,5.58540376e-05,0.044320,0.072943,9.19331289e-05,2.262903e+04
0.009212,0.044044,0.073867,5.66320603e-05,0.043987,0.074059,9.19324056e-05,2.346086e+04
0.009404,0.043711,0.075002,5.73996704e-05,0.043654,0.075200,9.19316543e-05,2.431548e+04
0.009596,0.043379,0.076163,5.81569505e-05,0.043321,0.076369,9.19308735e-05,2.519367e+04
0.009788,0.043046,0.077351,5.89039772e-05,0.042987,0.077565,9.19300620e-05,2.609620e+04
0.009980,0.042714,0.078568,5.96408218e-05,0.042654,0.078789,9.19292181e-05,2.702390e+04
0.010172,0.042382,0.079814,6.03675501e-05,0.042321,0.080043,9.19283405e-05,2.797764e+04
0.010364,0.042049,0.081089,6.10842229e-05,0.041988,0.081327,9.19274274e-05,2.895830e+04
0.010556,0.041717,0.082396,6.17908962e-05,0.041655,0.082643,9.19264770e-05,2.996680e+04
0.010748,0.041384,0.083735,6.24876214e-05,0.041322,0.083991,9.19254876e-05,3.100414e+04
0.010940,0.041052,0.085108,6.31744454e-05,0.040989,0.085372,9.19244572e-05,3.207130e+04
0.011132,0.040719,0.086514,6.38514108e-05,0.040656,0.086788,9.19233837e-05,3.316935e+04
0.011324,0.040387,0.087956,6.45185562e-05,0.040322,0.088240,9.19222649e-05,3.429938e+04
0.011516,0.040055,0.089434,6.51759161e-05,0.039989,0.089729,9.19210984e-05,3.546255e+04
0.011707,0.039722,0.090951,6.58235214e-05,0.039656,0.091256,9.19198819e-05,3.666005e+04
0.011899,0.039390,0.092507,6.64613991e-05,0.039323,0.092822,9.19186127e-05,3.789313e+04
0.012091,0.039057,0.094103,6.70895727e-05,0.038990,0.094430,9.19172880e-05,3.916310e+04
0.012283,0.038725,0.095741,6.77080620e-05,0.038657,0.096080,9.19159048e-05,4.047132e+04
0.012475,0.038392,0.097424,6.83168837e-05,0.038324,0.097775,9.19144601e-05,4.181923e+04
0.012667,0.038060,0.099151,6.89160509e-05,0.037991,0.099515,9.19129504e-05,4.320830e+04
0.012859,0.037728,0.100925,6.95055736e-05,0.037658,0.101302,9.19113722e-05,4.464012e+04
0.013051,0.037395,0.102748,7.00854585e-05,0.037325,0.103138,9.19097217e-05,4.611630e+04
0.013243,0.037063,0.104621,7.06557092e-05,0.036992,0.105026,9.19079949e-05,4.763856e+04
0.013435,0.036730,0.106546,7.12163262e-05,0.036659,0.106966,9.19061873e-05,4.920869e+04
0.013627,0.036398,0.108526,7.17673069e-05,0.036326,0.108961,9.19042945e-05,5.082858e+04
0.013819,0.036065,0.110562,7.23086458e-05,0.035993,0.111013,9.19023115e-05,5.250018e+04
0.014011,0.035733,0.112657,7.28403342e-05,0.035660,0.113124,9.19002331e-05,5.422557e+04
0.014202,0.035401,0.114813,7.33623606e-05,0.035327,0.115297,9.18980535e-05,5.600690e+04
0.014394,0.035068,0.117032,7.38747104e-05,0.034994,0.117534,9.18957669e-05,5.784646e+04
0.014586,0.034736,0.119317,7.43773664e-05,0.034661,0.119838,9.18933666e-05,5.974663e+04
0.014778,0.034403,0.121671,7.48703079e-05,0.034328,0.122211,9.18908459e-05,6.170992e+04
