Pc_bar,OF,Pamb_atm,eps_at_Pamb_interp
25.0,6.5,0.963,4.30296698704555

eps,p_exit_atm
0.5,25.0
1.0,14.283
1.5,4.9542
2.0,3.0568
2.5,2.152
3.0,1.6303
3.5,1.2954
4.0,1.0645
4.5,0.89699
5.0,0.77065
5.5,0.67244
6.0,0.59419
6.5,0.53059
7.0,0.47801
7.5,0.43392
8.0,0.3965
8.5,0.36438
9.0,0.33656
9.5,0.31226
10.0,0.29088
10.5,0.27194
11.0,0.25506
11.5,0.23994
12.0,0.22632
12.5,0.21401
13.0,0.20283
13.5,0.19263
14.0,0.18331
14.5,0.17475
15.0,0.16687
15.5,0.15959
16.0,0.15286
16.5,0.14661
17.0,0.14079
17.5,0.13537
18.0,0.13031
18.5,0.12557
19.0,0.12113
19.5,0.11696
20.0,0.11303
20.5,0.10933
21.0,0.10584
21.5,0.10254
22.0,0.09942
22.5,0.09646
23.0,0.09366
23.5,0.09099
24.0,0.08846
24.5,0.08605
25.0,0.08375
