x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.000000,0.060000,0.049363,1.166800,3299.933,800.000,1.382212,5784.648,14461232.187
0.000355,0.059645,0.049953,1.166800,3299.931,800.000,1.382210,5846.732,14616427.351
0.000710,0.059290,0.050555,1.166800,3299.930,800.000,1.382208,5909.858,14774228.354
0.001064,0.058936,0.051167,1.166800,3299.928,800.000,1.382206,5974.050,14934694.917
0.001419,0.058581,0.051790,1.166800,3299.926,800.000,1.382205,6039.334,15097888.497
0.001774,0.058226,0.052425,1.166800,3299.924,800.000,1.382203,6105.734,15263872.353
0.002129,0.057871,0.053072,1.166800,3299.922,800.000,1.382201,6173.276,15432711.609
0.002484,0.057516,0.053731,1.166800,3299.921,800.000,1.382199,6241.988,15604473.317
0.002839,0.057161,0.054402,1.166800,3299.919,800.000,1.382196,6311.896,15779226.532
0.003193,0.056807,0.055086,1.166800,3299.917,800.000,1.382194,6383.030,15957042.380
0.003548,0.056452,0.055783,1.166800,3299.914,800.000,1.382192,6455.419,16137994.136
0.003903,0.056097,0.056494,1.166800,3299.912,800.000,1.382190,6529.092,16322157.303
0.004258,0.055742,0.057218,1.166800,3299.910,800.000,1.382187,6604.082,16509609.694
0.004613,0.055387,0.057956,1.166800,3299.908,800.000,1.382185,6680.420,16700431.514
0.004968,0.055032,0.058709,1.166800,3299.905,800.000,1.382182,6758.139,16894705.458
0.005322,0.054678,0.059476,1.166800,3299.903,800.000,1.382180,6837.273,17092516.797
0.005677,0.054323,0.060258,1.166800,3299.900,800.000,1.382177,6917.858,17293953.478
0.006032,0.053968,0.061057,1.166800,3299.897,800.000,1.382174,6999.930,17499106.227
0.006387,0.053613,0.061871,1.166800,3299.895,800.000,1.382171,7083.526,17708068.655
0.006742,0.053258,0.062702,1.166800,3299.892,800.000,1.382168,7168.685,17920937.371
0.007097,0.052903,0.063549,1.166800,3299.889,800.000,1.382165,7255.447,18137812.094
0.007451,0.052549,0.064414,1.166800,3299.886,800.000,1.382162,7343.854,18358795.781
0.007806,0.052194,0.065297,1.166800,3299.883,800.000,1.382158,7433.947,18583994.751
0.008161,0.051839,0.066198,1.166800,3299.879,800.000,1.382155,7525.770,18813518.817
0.008516,0.051484,0.067118,1.166800,3299.876,800.000,1.382151,7619.370,19047481.431
